Catalog Number,Drug Name,% inhibition,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
8434,ethylparaben,9.622700802,CCOC(=O)c1ccc(O)cc1,11.846127645502644,11.846127645502644,0.7311281572814312,-3.377044949924416,0.67810167363512,23.333333333333332,166.17600000000007,156.09599999999998,166.06299418,64,0,1.8333333333333333,2.5833333333333335,3.1666666666666665,2.3519846340806883,3.3756733300934925,579.6354803134681,17.45566544670048,15.72474487139159,5.724744871391589,9.847241431989012,7.724744871391589,2.8164965809277263,1.695705769029128,1.695705769029128,0.9499149571305298,0.9499149571305298,0.5004729967192563,0.5004729967192563,-1.5099999999999998,28364.9346870131,2.2502149008634476,3.7588733548338538,1.985036469518851,84.73190580423878,9.84567114490726,5.749511833283905,0.0,0.0,1.4311996572326342,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,0.0,31.02156694794886,4.1122756685106605,20.346988071634602,26.977035334511058,5.9693052879518484,1.4311996572326342,0.0,0.0,6.851892117295679,6.558985242916288,29.733126322350174,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,19.068298379207985,4.736862953800049,0.0,29.546707798596472,24.16967483065318,0.0,0.0,0.0,46.53,54.86282080379789,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,13.768026662764614,75.98001976253464,0.0,11.846127645502644,3.946135085978836,-0.954699074074074,-2.4027433311287485,-3.570394935752077,0.0,-6.67777848639456,0.0,0.2222222222222222,12,1,3,0,0,0,1,0,1,3,1,3,4,0,0,0,1,1.5689,44.06330000000003,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15730,4-octylphenol,3.968997984,CCCCCCCCc1ccc(O)cc1,8.201037533068783,8.201037533068783,0.9954839210971096,-4.540525203136812,0.65954269739969,39.2,206.32900000000018,184.15299999999996,206.167065324,84,0,1.2,1.9333333333333333,2.6666666666666665,2.7056631199301115,3.9606359482948066,1005.788822672637,30.171208396324303,29.408248290463863,7.408248290463863,15.963431283003729,14.612372435695795,3.7041241452319316,2.0791241452319316,2.0791241452319316,1.1020620726159658,1.1020620726159658,0.5822810363079829,0.5822810363079829,-0.98,11421131.633533387,1.8318190245964279,7.329846773929591,5.458270590623322,124.14119504868488,5.1088081911072125,5.749511833283905,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,50.801354039269164,30.394138709682345,23.302895454893736,5.483034224680881,33.89473787068183,0.0,1.4311996572326342,0.0,0.0,51.46236642660133,0.0,29.733126322350174,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,6.5400078483398465,6.372924901329379,0.0,79.43882269654355,24.16967483065318,0.0,0.0,0.0,20.23,86.94500458223541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,30.21712933680725,171.37436450555575,0.0,0.0,3.965652875095776,-1.4635483197908787,-0.9954839210971096,-5.032695727893237,-30.44276042406956,-3.9055289878007136,0.0,0.5714285714285714,15,1,1,0,0,0,1,0,1,1,1,1,9,0,0,0,1,4.295200000000005,65.18680000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7010,valethamate bromide,24.4319136,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],14.246459041950109,14.246459041950109,0.0,-5.474080753443355,0.4648003038141657,42.78260869565217,386.3739999999994,354.118,385.1616413640009,132,0,1.3478260869565217,2.0869565217391304,2.652173913043478,2.8995501846364964,2.9159910090283615e-05,1560.1244378220676,44.24855866551393,43.14167464943691,12.727671188551616,23.05325356538452,21.25679962669571,5.256799626695711,3.3728122136721024,3.3728122136721024,2.0216117259107813,2.0216117259107813,1.0391436751010092,1.0391436751010092,-0.8700000000000001,8716418794.47243,3.500263797583169,10.82050630679837,6.638299774847878,196.8922812108196,26.201344663620958,13.055844927232233,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,50.28880267423721,25.161193411651432,21.932136898723517,47.79564085300077,74.86015564513987,5.9693052879518484,0.0,0.0,5.893957685363079,39.67445105587517,33.025391196146366,35.77554503001347,0.0,0.0,16.981450852126283,0.0,0.0,0.0,43.47772734179284,9.53140013787187,5.893957685363079,89.10217634501917,30.212093538316473,0.0,0.0,0.0,26.3,124.82168111304458,4.794537184071822,0.0,16.981450852126283,0.0,0.0,0.0,0.0,0.0,4.736862953800049,43.86427379744706,257.4994393287434,0.0,14.246459041950109,0.0,-2.1237699593726376,-13.431482308201065,-8.233791590265534,-4.808828578378094,-44.48135926780961,0.0,0.631578947368421,23,0,3,0,0,0,1,0,1,2,0,4,14,0,0,0,1,0.8499000000000017,91.73040000000007,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5560,trichlormethiazide,10.49976705,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,12.704477670697909,12.704477670697909,0.23095663265306143,-5.332461419753083,0.6564465021990212,32.9,380.66199999999986,372.598,378.90218077600025,112,0,1.6,2.25,2.8,2.525087694960576,3.1204040878263237,1066.1183876514951,22.196152422706632,16.925023948310734,12.825803948221552,12.356836025229594,8.216684813564251,8.441850508193381,3.308078101850453,7.534771745372889,1.9789290359489988,4.759225138415183,1.2403316175153154,3.53509639412965,-0.29000000000000015,418086.34491770744,8.370816357281605,5.16408527073321,2.9837968849530996,141.49841225476072,5.309813353288375,24.980641766808102,1.4118420783282006,20.046582306815168,0.0,0.0,0.0,21.960617204829905,4.715119613734132,23.20187978046503,11.600939890232516,12.08483741532659,0.0,16.193053813105767,27.96599650665155,60.53678825219628,0.0,4.715119613734132,5.12502323617203,20.745115531823505,5.309813353288375,17.107470729067916,0.0,0.0,15.149956203194536,5.687386274683562,0.0,34.802819670697545,27.78974254944583,20.046582306815168,0.0,5.483034224680881,21.87580436636214,10.670001627054129,0.0,0.0,118.35999999999999,73.4266976922963,16.835593968657875,0.0,5.309813353288375,0.0,0.0,0.0,0.0,0.0,0.0,45.933222208691234,109.81378205184099,16.70211812330108,-5.959112969261778,-2.224286068594105,-1.1325127551020404,0.0,-2.6474532312925163,-3.3841405659486012,0.0,-10.501727918276359,0.25,20,4,7,0,1,1,1,0,1,5,3,12,3,0,0,0,2,0.8210000000000004,76.05140000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6473881,parthenolide,11.05186769,C=C1C(=O)O[C@@H]2[C@H]3O[C@]3(C)CC/C=C(\C)CC[C@@H]12,12.722820530990173,12.722820530990173,1.7467507558578996,-4.3817039871504155,0.2862371144515137,89.11111111111111,248.32200000000014,228.16199999999995,248.1412445,98,0,1.8333333333333333,2.7777777777777777,3.5555555555555554,3.282919619322137,2.7463733997959627,1159.1384445075055,30.300964908321227,28.72474487139159,8.72474487139159,16.43301007738144,14.770620726159658,4.770620726159658,3.5810161321089566,3.5810161321089566,2.353954059492991,2.353954059492991,1.4436011749784272,1.4436011749784272,-1.09,32781771.13640064,2.827232374547726,3.9535992028241194,1.8112085008859515,135.93976366683955,9.473725907600098,12.160036053899976,0.0,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,18.1562152381067,39.195483839908874,32.02844055798564,12.454843591834788,41.68343421507634,5.9693052879518484,0.0,0.0,5.893957685363079,56.95657070479253,0.0,23.729319768175966,0.0,0.0,0.0,0.0,0.0,0.0,23.730392152835513,14.268263091671919,5.893957685363079,66.61065496331332,23.729319768175966,0.0,0.0,0.0,38.83,92.54915344628343,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,32.15203407720445,173.18373085422442,0.0,12.722820530990173,0.0,-7.785235733182164,-6.240727513227513,-2.1049329176114897,-25.21026384164778,-9.732058046212316,0.0,0.6666666666666666,18,0,3,1,2,3,0,0,0,3,0,3,2,0,2,2,3,2.7620000000000013,68.01300000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2266,azelaic acid,-5.125166044,O=C(O)CCCCCCCC(=O)O,11.364160998708481,11.364160998708481,2.306610932449451,-4.460005668934242,0.5701815945486013,35.07692307692308,188.22300000000013,172.09499999999997,188.104858992,76,0,0.9230769230769231,1.3076923076923077,1.6923076923076923,2.5810806200268273,6.723523139631237,600.7758751161704,24.068914100752345,22.132993161855453,6.1329931618554525,12.462760950869699,10.632993161855453,2.8164965809277263,1.4499149571305299,1.4499149571305299,0.5791241452319316,0.5791241452319316,0.2583120726159658,0.2583120726159658,-1.06,318492.44310821034,1.9689912583105567,7.581959097553653,10.939999999999998,100.2231681664214,10.217616382214425,0.0,0.0,0.0,2.8623993144652684,11.938610575903697,9.589074368143644,0.0,0.0,0.0,19.118774703988137,12.745849802658759,31.936469589041835,0.0,38.99731053674116,11.938610575903697,2.8623993144652684,0.0,0.0,44.61047430930565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.156226958118122,9.589074368143644,0.0,63.801094095688775,0.0,0.0,2.8623993144652684,0.0,74.6,56.549084885209346,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214425,22.05301910084835,118.49919377218033,0.0,22.728321997416963,6.518886052469656,0.0,-4.613221864898902,0.0,-30.04984662383473,0.0,0.0,0.7777777777777778,13,2,4,0,0,0,0,0,0,4,2,4,8,0,0,0,0,1.8863,47.59060000000003,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16960,dexbrompheniramine,6.241996016,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,9.172052626606199,9.172052626606199,0.4474959582598468,-4.222498464663646,0.8300542359520316,31.57894736842105,319.24599999999964,300.094,318.07316070800056,100,0,1.368421052631579,2.1578947368421053,2.8947368421052633,2.7410051161142763,3.2769228039131235,1226.3464151119624,30.13531001146206,28.27239166400914,10.858388203123848,16.789358009941758,14.30701622525451,5.600014494811861,3.0834094275045296,3.876407697061882,1.8410081126272546,2.23750724740593,1.1227583049073637,1.3210078722967016,-1.1900000000000002,30183290.497422542,3.5203511963973586,6.826182966360543,4.1490997732367605,149.85467665752367,4.899909730850477,0.0,0.0,0.0,0.0,0.0,4.983978520947208,0.0,0.0,0.0,34.057200020939234,56.554564708559994,37.31184452473114,10.96606844936176,26.044412567234176,15.929943897949348,0.0,9.883888251797686,0.0,12.266882586692457,20.448513484880436,64.19992516683568,0.0,0.0,0.0,0.0,0.0,15.929943897949348,30.33240173667812,0.0,0.0,49.56867464047213,52.94254568029024,0.0,0.0,0.0,16.130000000000003,101.81523096925908,1.3707585561702202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.913922418896554,24.673654011063956,152.89521070634282,2.812032236358986,2.6638023195389273,0.0,-2.616045918367346,-3.7895833333333346,-7.3804943914294086,-5.308668876501219,-11.942919409276064,0.0,0.3125,19,0,2,0,0,0,1,1,2,2,0,3,7,0,0,0,2,3.9277000000000024,83.39300000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2678,cetirizine,2.075685233,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,11.703232569441047,11.703232569441047,0.7928105080862569,-4.617063848215546,0.7038936958101741,40.407407407407405,388.8949999999997,363.69500000000016,388.15537034000073,144,0,1.2222222222222223,1.8888888888888888,2.5555555555555554,2.980375643841971,2.637679582738049,1662.4072974111195,41.07446760021749,37.997136535400735,13.753065481419188,23.02139102527616,19.255367894396077,7.225084076941442,4.36107011829264,4.739034591301867,2.681760660535276,2.8707428970398894,1.6919100580099047,1.7864011762622114,-1.919999999999999,15580015010.955793,5.361651057925773,9.853602391335345,5.776793002915453,199.8703126129588,9.84567114490726,6.558985242916288,0.0,0.0,1.4311996572326342,5.9693052879518484,9.799819461700954,4.794537184071822,0.0,0.0,53.89787084387558,23.21174039872058,51.214517297023285,31.767497497649007,47.5384136770644,17.570245178184365,1.4311996572326342,9.799819461700954,0.0,6.017892468349645,45.602268907412295,70.53130466610497,0.0,0.0,0.0,0.0,0.0,11.600939890232516,66.4802018481723,9.53140013787187,0.0,50.04300079982895,54.38176836896965,5.022633313741326,1.4311996572326342,0.0,53.010000000000005,137.92059079151977,6.165295740242042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,44.55958633938023,213.73889475077254,5.886533345554463,9.831937189010791,2.4307061612184437,-3.124810715983396,-2.297064132480834,-16.187370774290308,0.0,-31.501048046023925,0.0,0.38095238095238093,27,1,5,0,1,1,2,0,2,5,1,6,8,0,1,1,3,3.148200000000002,106.20480000000005,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60825,lamivudine,18.91423046,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,12.183768975182666,12.183768975182666,0.03606245275888087,-3.2265102985638707,0.7038615838122526,50.0,229.26100000000008,218.17299999999997,229.052112212,82,0,2.2666666666666666,3.2,4.0,2.6867409793831216,2.7189959529900185,790.6851049586654,20.292528739883945,17.974633948355326,7.791130529283052,11.633463462290253,8.869061139355242,4.38288223881919,2.291056311397593,3.0700954137600545,1.3791758992765704,2.0079204707593625,0.8123388092565063,1.2875682845657765,-1.05,223547.59644859325,3.474073640950248,4.213446893102682,2.137865937402115,105.72436870061698,15.565388120633536,17.43386559854235,2.8236841566564013,1.4311996572326342,0.0,5.689743398203474,4.567099647791355,4.794537184071822,4.983978520947208,11.761884949391115,0.0,6.042418707663295,14.619369208305358,14.783536579937607,23.63542375092542,17.57974772722614,1.4311996572326342,9.551078168738563,0.0,11.616002820707322,17.983659103792718,22.69959450075335,0.0,0.0,11.409460373929747,5.817862777835028,0.0,11.761884949391115,33.76707815591562,4.736862953800049,0.0,17.170021259298313,17.009851102549877,2.8236841566564013,0.0,0.0,90.36999999999999,47.60286504329033,4.794537184071822,0.0,22.04870157290874,0.0,0.0,0.0,0.0,0.0,10.09278671205442,19.957815217050843,87.79844009056151,-0.20905499391114524,15.353871409674982,3.7387351032138185,-7.772240005965656,-0.8536857914462079,-0.9649469062316285,-4.364863945578232,-3.226254960317461,0.0,0.5,15,3,6,0,1,1,0,1,1,7,2,7,4,0,1,1,2,-0.5941000000000001,56.36320000000001,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4917,prochlorperazine,22.12354369,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,9.058969198790628,9.058969198790628,0.04430224867724841,-4.563258928571431,0.775124662295156,42.36,373.95299999999963,349.7610000000001,373.13794644800066,132,0,1.12,1.92,2.76,2.9249796751460204,2.1194217285776844,1642.4569336635943,38.367360819030935,36.12785354997296,13.700279076919145,21.622691343275093,18.609691706718287,7.804152760655241,4.448557178209244,5.847142377378129,2.897470687008562,4.085523690275957,1.894115064843482,2.9170976102805906,-1.1999999999999997,5147792180.952504,4.794233988467978,7.583404719912659,3.82238204476409,192.8215412005599,14.69972919255143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.447662254950224,50.057705024244044,70.60079414125036,20.970082442558663,32.89820534808528,34.73759738899076,0.0,9.799819461700954,0.0,16.16389185236493,50.856894737028384,47.319564267384386,0.0,0.0,4.899909730850477,11.374772549367124,0.0,23.36282483962363,55.756804467878865,0.0,0.0,39.27113024941467,52.08789790467861,5.022633313741326,0.0,0.0,9.72,130.61503313699535,0.0,0.0,4.899909730850477,11.761884949391115,0.0,0.0,0.0,0.0,0.0,44.49914523831782,201.57285401475994,6.457850993933643,-2.8424013652021634,-0.8121727959698315,-1.8325178297265232,0.0,-6.442817767500711,-4.48337407879819,-29.67297672705169,0.0,0.4,25,0,3,0,2,2,2,0,2,4,0,5,5,0,1,1,4,4.580200000000004,107.57700000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
